"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","81/239","165/18986",0.490909090909091,38.997489539749,55.3495240059418,4.26553636489944e-113,1.07704793213711e-109,1.00487056680473e-109,"RPL39/RPL30/RPS27/RPL34/RPL18/RPL31/RPL41/RPS21/RPS28/RPS25/RPS12/RPS15A/RPL12/RPL27A/RPL38/RPL35A/RPL36/RPL32/RPL28/RPL11/RPS19/RPL37A/RPS14/RPLP2/RPL23A/RPL35/RPL21/RPS26/RPL3/RPL27/RPS18/RPLP1/RPS13/RPS3/RPS9/RPS4X/RPS15/RPS5/RPL9/RPL37/RPS8/RPS24/RPL10/RPS2/RPL23/RPS6/RPS16/RPS11/RPL5/RPL24/RPL13A/RPL7/RPS3A/RPL14/RPL29/RPL10A/RPSA/RPL18A/RPLP0/UBA52/RPLP0P6/RPL8/FAU/RPL13/RPL19/EIF3H/RPS20/EIF3L/RPL22/RACK1/RPL6/RPL4/RPS27A/RPS7/EIF3F/RPL7A/EIF3G/RPL15/EIF2D/EIF3K/EIF3E",81
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","49/239","492/18986",0.0995934959349594,7.91164064360309,17.5382653300432,5.67222809846606e-30,7.1611879743134e-27,6.68128762335108e-27,"RPS27/HSP90AB1/ZNF622/RPS21/RPS28/RPS25/RPS12/RPS15A/RPL38/RPL35A/SF3B6/RPL11/RPS19/RPS14/RPL35/RPL27/RPS13/RPS9/RPS4X/RPS15/RPS5/RPS8/RPS24/RPS6/RPS16/RPS11/RPL5/RPL24/RPL13A/RPL7/RPS3A/RPSA2/RPL14/RPSA/FAU/EIF3H/EIF3L/SNRPD2/RPS27A/RPS7/EIF3F/CDKN2A/RPL7A/NSA2/EIF3G/EIF2D/EIF3K/EIF3E/FBL",49
"GO:0042254","GO:0042254","ribosome biogenesis","38/239","317/18986",0.1198738170347,9.52269577498251,17.2776412034788,3.28219914410272e-26,2.76251761295313e-23,2.57739006473751e-23,"RPS27/ZNF622/RPS21/RPS28/RPS25/RPS12/RPS15A/RPL38/RPL35A/RPL11/RPS19/RPS14/RPL35/RPL27/RPS13/RPS9/RPS4X/RPS15/RPS5/RPS8/RPS24/RPS6/RPS16/RPS11/RPL5/RPL24/RPL7/RPS3A/RPSA2/RPL14/RPSA/FAU/RPS27A/RPS7/CDKN2A/RPL7A/NSA2/FBL",38
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","25/239","108/18986",0.231481481481481,18.3887339222067,20.4616292103389,7.63243001295093e-25,4.81797144567528e-22,4.49509957078531e-22,"RPS27/RPS21/RPS28/RPS25/RPS12/RPS15A/RPS19/RPS14/RPS13/RPS9/RPS4X/RPS15/RPS5/RPS8/RPS24/RPS6/RPS16/RPS11/RPS3A/RPSA2/RPSA/FAU/RPS27A/RPS7/FBL",25
"GO:0022618","GO:0022618","protein-RNA complex assembly","24/239","225/18986",0.106666666666667,8.47352859135286,12.7329000262686,1.08524701148917e-15,5.4804974080203e-13,5.11322697202686e-13,"RPS27/HSP90AB1/RPS28/RPL38/SF3B6/RPL11/RPS19/RPS14/RPS15/RPS5/RPL5/RPL24/RPL13A/RPSA2/RPSA/FAU/EIF3H/EIF3L/SNRPD2/EIF3F/EIF3G/EIF2D/EIF3K/EIF3E",24
"GO:0071826","GO:0071826","protein-RNA complex organization","24/239","234/18986",0.102564102564103,8.1476236455316,12.4217896295988,2.65020087333387e-15,1.115292867528e-12,1.04055255342477e-12,"RPS27/HSP90AB1/RPS28/RPL38/SF3B6/RPL11/RPS19/RPS14/RPS15/RPS5/RPL5/RPL24/RPL13A/RPSA2/RPSA/FAU/EIF3H/EIF3L/SNRPD2/EIF3F/EIF3G/EIF2D/EIF3K/EIF3E",24
"GO:0006364","GO:0006364","rRNA processing","23/239","225/18986",0.102222222222222,8.12046490004649,12.131373634905,1.11293493032747e-14,4.01451528439551e-12,3.74548627680131e-12,"RPS27/RPS21/RPS28/RPS25/RPL35A/RPL11/RPS19/RPS14/RPL35/RPL27/RPS15/RPS8/RPS24/RPS6/RPS16/RPL5/RPL7/RPL14/RPS7/CDKN2A/RPL7A/NSA2/FBL",23
"GO:0016072","GO:0016072","rRNA metabolic process","24/239","268/18986",0.0895522388059701,7.11396989945669,11.3814955604424,5.54557591048847e-14,1.75032239674792e-11,1.63302616943068e-11,"DEDD2/RPS27/RPS21/RPS28/RPS25/RPL35A/RPL11/RPS19/RPS14/RPL35/RPL27/RPS15/RPS8/RPS24/RPS6/RPS16/RPL5/RPL7/RPL14/RPS7/CDKN2A/RPL7A/NSA2/FBL",24
"GO:0042255","GO:0042255","ribosome assembly","13/239","58/18986",0.224137931034483,17.8053671908815,14.472648043269,2.74665501436895e-13,7.70589323475732e-11,7.18948996743591e-11,"RPS27/RPS28/RPL38/RPL11/RPS19/RPS14/RPS15/RPS5/RPL5/RPL24/RPSA2/RPSA/FAU",13
"GO:0000028","GO:0000028","ribosomal small subunit assembly","9/239","21/18986",0.428571428571429,34.0454273759713,17.1073585719495,1.75955128134367e-12,4.44286698539276e-10,4.14513238699698e-10,"RPS27/RPS28/RPS19/RPS14/RPS15/RPS5/RPSA2/RPSA/FAU",9
"GO:0061077","GO:0061077","chaperone-mediated protein folding","12/239","76/18986",0.157894736842105,12.5430521911473,11.3846596718951,1.82973288298138e-10,4.20006866320725e-08,3.91860496852854e-08,"HSPA6/HSPA1A/HSPA1B/DNAJB1/HSP90AB1/TCP1/CLU/HSPB1/PFDN2/BAG1/ST13/CRTAP",12
"GO:0035966","GO:0035966","response to topologically incorrect protein","15/239","160/18986",0.09375,7.44743723849372,9.24711905085058,1.8082586069442e-09,3.80487748544508e-07,3.54989715994835e-07,"HSPA6/PPP1R15A/HSPA1A/BAG3/THBS1/DNAJA1/DNAJB1/HSP90AB1/CLU/HSPB1/SERPINH1/CREB3L4/RACK1/DNAJC4/PARP6",15
"GO:1901798","GO:1901798","positive regulation of signal transduction by p53 class mediator","8/239","31/18986",0.258064516129032,20.5004723984343,12.2688101545874,3.44658660419246e-09,6.52402640002102e-07,6.08682483929007e-07,"UBB/RPL11/RPS15/RPL37/RPL23/RPS20/RPS7/CDKN2A",8
"GO:0006986","GO:0006986","response to unfolded protein","14/239","143/18986",0.0979020979020979,7.77727711618925,9.18515733954536,3.61728196436809e-09,6.52402640002102e-07,6.08682483929007e-07,"HSPA6/PPP1R15A/HSPA1A/BAG3/THBS1/DNAJA1/DNAJB1/HSP90AB1/HSPB1/SERPINH1/CREB3L4/RACK1/DNAJC4/PARP6",14
"GO:0006457","GO:0006457","protein folding","17/239","231/18986",0.0735930735930736,5.84618449890417,8.36730811015849,6.07425614422618e-09,1.02249978427807e-06,9.53977912335312e-07,"HSPA6/HSPA1A/HSPA1B/BAG3/DNAJA1/DNAJB1/HSP90AB1/AHSA1/TCP1/CLU/HSPB1/DNAJC4/PFDN2/BAG1/ST13/CRTAP/FKBP1A",17
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","10/239","64/18986",0.15625,12.4123953974895,10.3257507938835,6.91432766666166e-09,1.09116733489504e-06,1.01804377092032e-06,"ZNF622/RPL35A/RPL11/RPL35/RPL5/RPL24/RPL7/RPL14/RPL7A/NSA2",10
"GO:0006413","GO:0006413","translational initiation","13/239","127/18986",0.102362204724409,8.13158501630811,9.10472757284112,7.69076675874921e-09,1.14230506269657e-06,1.06575455146011e-06,"PPP1R15A/HSPB1/RPS3/RPS5/RPL13A/RPS3A/EIF3H/EIF3L/EIF3F/EIF3G/EIF2D/EIF3K/EIF3E",13
"GO:0001732","GO:0001732","formation of cytoplasmic translation initiation complex","6/239","15/18986",0.4,31.7757322175732,13.4631682586008,1.70117328782664e-08,2.38636808431237e-06,2.22644784687487e-06,"EIF3H/EIF3L/EIF3F/EIF3G/EIF3K/EIF3E",6
"GO:1904667","GO:1904667","negative regulation of ubiquitin protein ligase activity","5/239","10/18986",0.5,39.7196652719665,13.8282626525561,7.2569227950511e-08,9.64406845131791e-06,8.99778017469494e-06,"RPL11/RPL23/RPL5/RPS7/CDKN2A",5
"GO:0002183","GO:0002183","cytoplasmic translational initiation","8/239","45/18986",0.177777777777778,14.1225476522548,9.95087623920011,8.09053688688796e-08,1.02143028196961e-05,9.52980081729224e-06,"RPL13A/EIF3H/EIF3L/EIF3F/EIF3G/EIF2D/EIF3K/EIF3E",8
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","11/239","110/18986",0.1,7.94393305439331,8.24679587401241,1.42488296243923e-07,1.71325213340907e-05,1.59844013530776e-05,"SNAI1/SGK1/UBB/RPL11/RPS15/RPL37/RPL23/RPL5/RPS20/RPS7/CDKN2A",11
"GO:0006458","GO:0006458","'de novo' protein folding","8/239","49/18986",0.163265306122449,12.9696866194176,9.47247771351413,1.62087513858835e-07,1.86032260224345e-05,1.73565481347403e-05,"HSPA6/HSPA1A/HSPA1B/DNAJB1/TCP1/BAG1/ST13/FKBP1A",8
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","13/239","171/18986",0.0760233918128655,6.03924735129316,7.47394644558258,2.66797799308478e-07,2.92897584023437e-05,2.73269324875228e-05,"ZFAND2A/HSPA1A/HSPA1B/HSP90AB1/CLU/RPL11/RPL23/RPL5/EIF3H/RACK1/RPS7/CDKN2A/ELOB",13
"GO:0050821","GO:0050821","protein stabilization","15/239","236/18986",0.0635593220338983,5.04910999219913,7.0672963259545,3.29976597968929e-07,3.47162879113144e-05,3.23898081690554e-05,"HSPA1A/HSPA1B/BAG3/HSP90AB1/TCP1/CLU/RPL11/RPL23/RPL5/RPS7/CDKN2A/GAPDH/PFDN2/BAG1/CRTAP",15
"GO:1901874","GO:1901874","negative regulation of post-translational protein modification","10/239","98/18986",0.102040816326531,8.10605413713603,7.96318717854914,4.39952774908606e-07,4.44352302657692e-05,4.14574446419142e-05,"HSPA1A/HSPA1B/DNAJA1/RPL11/RPS3/RPL23/RPL5/RPS7/CDKN2A/CRTAP",10
"GO:0031647","GO:0031647","regulation of protein stability","19/239","387/18986",0.0490956072351421,3.90012217140757,6.50826668330668,4.94102684402339e-07,4.79849722352272e-05,4.47693039551593e-05,"HSPA1A/HSPA1B/TBX3/BAG3/HSP90AB1/TCP1/CLU/RPL11/TOMM7/RPL23/RPL5/RPS7/CDKN2A/GAPDH/SERF2/PFDN2/BAG1/CRTAP/DDOST",19
"GO:0051438","GO:0051438","regulation of ubiquitin-protein transferase activity","7/239","41/18986",0.170731707317073,13.562812531891,9.09221850435112,7.16317067722299e-07,6.69889109629187e-05,6.24997114059456e-05,"RPL11/ARRDC3/RPS2/RPL23/RPL5/RPS7/CDKN2A",7
"GO:1901873","GO:1901873","regulation of post-translational protein modification","15/239","253/18986",0.0592885375494071,4.70984173185374,6.70734025036347,7.99812853393869e-07,7.0550000734985e-05,6.58221580593628e-05,"HSPA1A/HSPA1B/DNAJA1/HSP90AB1/ZC3H12A/UBB/RPL11/RPS3/ARRDC3/RPS2/RPL23/RPL5/RPS7/CDKN2A/CRTAP",15
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination","9/239","81/18986",0.111111111111111,8.82659228265923,7.97012697665358,8.10277236164184e-07,7.0550000734985e-05,6.58221580593628e-05,"HSPA1A/HSPA1B/DNAJA1/RPL11/RPS3/RPL23/RPL5/RPS7/CDKN2A",9
"GO:0042026","GO:0042026","protein refolding","6/239","27/18986",0.222222222222222,17.6531845653185,9.777094787493,8.86475166404158e-07,7.46116598390167e-05,6.96116288565792e-05,"HSPA6/HSPA1A/HSPA1B/DNAJA1/HSPB1/FKBP1A",6
